# Bank`tCallAddress`tKind`tContinuation
08	80F1	jsr	80F4
08	80FC	jsr	80FF
08	8162	jsr	8165
08	8178	jsr	817B
08	81AD	jsr	81B0
08	81DA	jsr	81DD
08	8251	jsr	8254
08	835C	jsr	835F
08	83DC	jsr	83DF
08	83DF	jsr	83E2
08	83E2	jsr	83E5
08	8441	jsr	8444
08	8473	jsr	8476
08	847E	jsr	8481
08	8481	jsr	8484
08	8484	jsr	8487
08	84AB	jsr	84AE
08	84AE	jsr	84B1
08	84E3	brk	84E6
08	84E6	brk	84E9
08	84EF	jsr	84F2
08	8503	jsr	8506
08	8506	jsr	8509
08	8509	jsr	850C
08	850F	jsr	8512
08	852F	jsr	8532
08	8532	brk	8535
08	8535	jsr	8538
08	8538	jsr	853B
08	8581	jsr	8584
08	8596	jsr	8599
08	85D3	jsr	85D6
08	8611	jsr	8614
08	8623	jsr	8626
08	862C	jsr	862F
08	864F	jsr	8652
08	8652	jsr	8655
08	8655	jsr	8658
08	8658	jsr	865B
08	865B	jsr	865E
08	865E	jsr	8661
08	8730	jsr	8733
08	8733	jsr	8736
08	8736	jsr	8739
08	8749	jsr	874C
08	8765	jsr	8768
08	876C	jsr	876F
08	8776	jsr	8779
08	8779	jsr	877C
08	878B	jsr	878E
08	878E	jsr	8791
08	AF89	jsr	AF8C
08	B062	jsr	B065
08	B06C	brk	B06F
08	B071	jsr	B074
08	B08D	jsr	B090
08	B090	jsr	B093
08	B096	jsr	B099
08	B5F2	jsr	B5F5
08	B6BD	brk	B6C1
08	B6C8	brk	B6CB
08	B6DC	jsr	B6DF
08	B6E4	jsr	B6E7
08	B6F4	jsr	B6F7
08	B6FC	jsr	B6FF
08	B705	jsr	B708
0B	AFA4	jsr	AFA7
0B	AFCD	jsr	AFD0
0B	AFDB	jsr	AFDE
0B	AFE1	jsr	AFE4
0B	BE21	jsr	BE24
0B	BE24	jsr	BE27
0B	BE29	jsr	BE2C
0B	BE2C	jsr	BE2F
0B	BE68	jsr	BE6B
0B	BE6C	jsr	BE6F
0B	BE79	jsr	BE7C
0B	BE80	jsr	BE83
0B	BE86	jsr	BE89
0B	BE89	jsr	BE8C
0B	BE9E	jsr	BEA1
0B	BEB7	jsr	BEBA
0B	BEBC	jsr	BEBF
0B	BEBF	jsr	BEC2
0E	800A	jsr	800D
0E	802D	jsr	8030
0E	8057	jsr	805A
0E	8075	jsr	8078
0E	8086	jsr	8089
0F	C0C4	jsr	C0C7
0F	C10A	jsr	C10D
0F	C110	jsr	C113
0F	C178	jsr	C17B
0F	C17B	jsr	C17E
0F	C17E	jsr	C181
0F	C198	jsr	C19B
0F	C39A	jsr	C39D
0F	C3A6	jsr	C3A9
0F	C3B0	jsr	C3B3
0F	C3BC	jsr	C3BF
0F	C3D6	jsr	C3D9
0F	C3DA	jsr	C3DD
0F	C3F2	jsr	C3F5
0F	C402	jsr	C405
0F	C58F	jsr	C592
0F	C5AF	jsr	C5B2
0F	C7E7	jsr	C7EA
0F	C81D	jsr	C820
0F	C897	jsr	C89A
0F	C89E	jsr	C8A1
0F	C8EE	jsr	C8F1
0F	C90C	jsr	C90F
0F	C917	jsr	C91A
0F	C934	jsr	C937
0F	C93A	jsr	C93D
0F	C968	jsr	C96B
0F	C96B	jsr	C96E
0F	C96E	brk	C971
0F	C971	brk	C974
0F	C974	brk	C977
0F	C977	brk	C97A
