Bank	Address	Name	CallingConvention	RegisterInputs	RegisterOutputs	DirectMemoryWrites	Calls
08	803C	Bank08_MapTileServices	Direct call from $08:$84EF	A,X	A,P,X	$6F20+X,$6F40+X,$7600+X,$761F+X	
08	8055	MapTileSystem_Entry_8055	Direct call from $08:$8509; Direct call from $08:$879D	A,X	A,P,X,Y	$00,$01,$0E,$0F	
08	8082	MapTileSystem_Entry_8082	Direct call from $08:$8473	A,Y	A,P,Y	$000A+Y,$0A,$0B	
08	8097	MapTileSystem_Entry_8097	Pointer $08:$803A (30-entry map and tile service directory)	A	A,P	$0A,$0B	
08	80B7	MapTileSystem_Entry_80B7	Direct call from $08:$851E	A	A,P	$0E,$0F	
08	80C4	MapTileSystem_Entry_80C4	Direct call from $08:$8655	A,Y	A,P,Y	$0A,$0B,$0C	
08	80D5	MapTileSystem_Entry_80D5	Direct call from $08:$8481; Direct call from $08:$8658; Direct call from $08:$8733	A,X,Y	A,P,X,Y	$00,$01,$0100,$0100+Y,$0101,$0102,$0102+X,$0103,$0103+X,$0104,$0105,$0106,$0107,$02,$03,$08,$0C,$72,$73,$75,$76	$C813,$C81D
08	823D	MapTileSystem_Entry_823D	Direct call from $08:$84AB	A,X,Y	A,P,X,Y	($00),Y,$00,$01,$0100+X,$0101+X,$02,$03,$04,$18,$75,$7700+Y,$7701+Y,$79	$C813
08	8340	MapTileSystem_Entry_8340	Direct call from $08:$865B	A,X,Y	A,P,X,Y	($00),Y,$00,$01,$0100+X,$0101+X,$02,$03,$18,$75,$7700+Y,$7701+Y,$79	$C81D
08	8362	MapTileSystem_Entry_8362	Direct call from $08:$8503; Direct call from $08:$864F; Direct call from $08:$8776	A,X	A,P,X,Y	$00,$01,$19,$1A	
08	838D	MapTileSystem_Entry_838D	Direct call from $08:$8506; Direct call from $08:$8652; Direct call from $08:$8779	A	A,P	$2006	
08	839F	MapTileSystem_Entry_839F	Direct call from $08:$8406	A,X	A,P,X	$0300+X,$050A,$050B	
08	83BD	MapTileSystem_Entry_83BD	Direct call from $08:$84AE; Direct call from $08:$865E	A,X	A,P,X	$00,$01	$83F4,$89C9,$C7E1
08	83F4	MapTileSystem_Entry_83F4	Direct call from $08:$83E2; Direct call from $08:$878E	A,X,Y	A,P,X,Y	$0300+X,$050A,$2007	$839F
08	8433	MapTileSystem_Entry_8433	Direct call from $08:$847E; Direct call from $08:$8730	A,X	A,P,X	($00,X),$00,$01	$C813
08	8452	MapTileSystem_Entry_8452	Direct call from $08:$8484; Direct call from $08:$8736	A,X	A,P,X	$6F20+X,$6F40+X	
08	8476	MapTileSystem_Entry_8476	Direct call from $08:$8581; Direct call from $08:$8596	A,X	A,P,X	$0E,$0F,$6E5E+X	$80D5,$823D,$83BD,$8433,$8452
08	84BD	MapTileSystem_Entry_84BD	Direct call from $08:$850F; Direct call from $08:$8524	A,X	A,P,X	$0E,$0F,$16,$6E5E+X	$8082,$80D5,$823D,$83BD,$8433,$8452
08	84C2	MapTileSystem_Entry_84C2	Pointer $08:$802A (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$0D,$6E5E+X	
08	84C7	MapTileSystem_Entry_84C7	Pointer $08:$8004 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$0D,$6E5E+X	
08	853E	MapTileSystem_Entry_853E	Direct call from $08:$852F	A,X,Y	A,P,X,Y	$000A+Y,$16,$7684,$7685,$7686,$7687	$8476
08	859B	MapTileSystem_Entry_859B	Direct call from $08:$85D3	A	A,P	$0E,$7A	
08	85D3	MapTileSystem_Entry_85D3	Pointer $08:$8008 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$74,$79	$859B,$864B,$C813,$C81D
08	864B	MapTileSystem_Entry_864B	Direct call from $08:$8623	A,X,Y	A,P,X,Y	$16	$80C4,$80D5,$8340,$8362,$838D,$83BD
08	8668	MapTileSystem_Entry_8668	Pointer $08:$801A (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$16,$18,$6BDD,$72,$73,$74,$79,$7A	$864B,$C62D,$C813,$C81D
08	8676	MapTileSystem_Entry_8676	Pointer $08:$8016 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$16,$18,$6BDD,$72,$73,$74,$79,$7A	$864B,$C813,$C81D
08	86E5	MapTileSystem_Entry_86E5	Pointer $08:$8006 (30-entry map and tile service directory)	A,X	A,P,X	$0609+X,$16,$18,$6BDD	
08	86F2	MapTileSystem_Entry_86F2	Pointer $08:$800E (30-entry map and tile service directory)	A,X	A,P,X	$0609+X	
08	8710	MapTileSystem_Entry_8710	Pointer $08:$8022 (30-entry map and tile service directory)	A,Y	A,P,X,Y	($00),Y,$00,$01,$05,$09,$0A,$0B,$0C,$0D,$16,$18,$79	$80D5,$8433,$8452,$8774,$C813
08	8774	MapTileSystem_Entry_8774	Direct call from $08:$8765; Direct call from $08:$876C	A,X	A,P,X	$00,$01	$8362,$838D,$83F4,$C7E1
08	8796	MapTileSystem_Entry_8796	Pointer $08:$8024 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$02,$03,$04,$05,$053E,$053F,$0540,$0541,$06,$07,$08,$09,$0A,$0B,$0C,$51,$52,$53	$8055,$8800,$880E,$893D,$8957,$896F,$D3E6
08	8800	MapTileSystem_Entry_8800	Direct call from $08:$87AE; Direct call from $08:$87EB	A,Y	A,P,Y	$00,$01	
08	880E	MapTileSystem_Entry_880E	Direct call from $08:$87B1; Direct call from $08:$87EE	A,X	A,P,X		
08	893D	MapTileSystem_Entry_893D	Direct call from $08:$8915; Direct call from $08:$8926	A,X,Y	A,P,X,Y		
08	8957	MapTileSystem_Entry_8957	Direct call from $08:$886A; Direct call from $08:$8871; Direct call from $08:$8894; Direct call from $08:$889B; Direct call from $08:$88B2; Direct call from $08:$88B8; Direct call from $08:$88D1; Direct call from $08:$88D7; Direct call from $08:$8919	A,X,Y	A,P,X,Y	$03	$D3E6
08	896F	MapTileSystem_Entry_896F	Direct call from $08:$8847; Direct call from $08:$8902; Direct call from $08:$8908; Direct call from $08:$890B	A,Y	A,P,Y		
08	89C9	MapTileSystem_Entry_89C9	Direct call from $08:$83DF	A,X	A,P,X	$0108+X,$02,$75	$8A00,$8A15
08	8A00	MapTileSystem_Entry_8A00	Direct call from $08:$89DC	A,X	A,P,X	$03	
08	8A15	MapTileSystem_Entry_8A15	Direct call from $08:$89E8	A,X	A,P,X	$03	
08	8A2A	MapTileSystem_Entry_8A2A	Direct call from $08:$8535	A,X,Y	A,P,X,Y	$6F40+Y,$6F41,$6F54	
08	8A85	MapTileSystem_Entry_8A85	Direct call from $08:$8538	A,X	A,P,X	$058C	
08	AEE3	MapTileSystem_Entry_AEE3	Direct call from $08:$B639; Pointer $08:$8010 (30-entry map and tile service directory)		P,X		
08	AF13	MapTileSystem_Entry_AF13	Direct call from $08:$B2DA	A,Y	A,P,X,Y	$44,$45,$62AA,$63,$64	$AF82,$AF89,$AF99,$B5F1
08	AF82	MapTileSystem_Entry_AF82	Direct call from $08:$AF79; Direct call from $08:$AFB1; Direct call from $08:$AFDB; Direct call from $08:$B001; Direct call from $08:$B02C; Direct call from $08:$B229	A,X,Y	P	$44,$45,$64	
08	AF89	MapTileSystem_Entry_AF89	Direct call from $08:$AF32; Direct call from $08:$B08D	A,Y	A,P,Y	$65	$B037
08	AF99	MapTileSystem_Entry_AF99	Direct call from $08:$AF35	A,X,Y	A,P,X,Y	$44,$45,$64	$AF82,$B5E2,$B5F1
08	B037	MapTileSystem_Entry_B037	Direct call from $08:$AF89; Direct call from $08:$B5F2	A,Y	A,P,Y	$DA,$DB	
08	B05C	MapTileSystem_Entry_B05C	Direct call from $08:$AEEA; Direct call from $08:$AEEE; Direct call from $08:$AEF6; Direct call from $08:$AEFF; Direct call from $08:$B071; Direct call from $08:$B090; Direct call from $08:$B096	A,X	A,P,X	$E9	$C3EA
08	B06A	MapTileSystem_Entry_B06A	Direct call from $08:$B2E7; Pointer $08:$8012 (30-entry map and tile service directory)		P,X		
08	B135	MapTileSystem_Entry_B135	Direct call from $08:$B0A7; Direct call from $08:$B0B4; Direct call from $08:$B0C1; Direct call from $08:$B0CA; Direct call from $08:$B0DF; Direct call from $08:$B0F8; Direct call from $08:$B10A; Direct call from $08:$B114; Direct call from $08:$B126; Direct call from $08:$B12E; Direct call from $08:$B318		P		
08	B188	MapTileSystem_Entry_B188	Pointer $08:$8000 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y		$AF82
08	B22E	MapTileSystem_Entry_B22E	Pointer $08:$8014 (30-entry map and tile service directory)	A	A,P,X,Y		$AF82,$B246,$B323,$B397,$B48E,$B554,$B59F,$B5E8
08	B246	MapTileSystem_Entry_B246	Direct call from $08:$B231	A,X,Y	A,P,X,Y	$00,$01,$42,$43,$63,$64,$DE,$DF,$E4,$E5,$E6,$E7	$AF13,$B06A,$B135,$B4C1,$B4ED
08	B304	MapTileSystem_Entry_B304	Pointer $08:$8034 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00,$42,$43	$B135
08	B323	MapTileSystem_Entry_B323	Direct call from $08:$B22E	A,Y	A,P,X,Y	$00,$44,$45,$63,$64	$AF82,$B376,$B5E8
08	B376	MapTileSystem_Entry_B376	Direct call from $08:$B368	A,Y	A,P	$7928,$79F1,$7A5F,$7A6A	
08	B397	MapTileSystem_Entry_B397	Direct call from $08:$B234	A,Y	A,P,Y	$00,$64	$B5E2
08	B48E	MapTileSystem_Entry_B48E	Direct call from $08:$B23D; Direct call from $08:$B2E0	A	A,P	$00	
08	B4C1	MapTileSystem_Entry_B4C1	Direct call from $08:$B28E; Direct call from $08:$B2A0	A	A,P	$DE,$DF	
08	B4E5	MapTileSystem_Entry_B4E5	Pointer $08:$8026 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00,$01,$04,$05,$08,$09,$DC,$DD	$C827
08	B4ED	MapTileSystem_Entry_B4ED	Direct call from $08:$B256	A,X,Y	A,P,X,Y	$00,$01,$04,$05,$08,$09,$DC,$DD	$C827
08	B554	MapTileSystem_Entry_B554	Direct call from $08:$B23A	A,X,Y	A,P,X,Y	$04,$05,$08,$09,$44,$45,$DC,$DD	$C851
08	B59F	MapTileSystem_Entry_B59F	Direct call from $08:$B240	A	A,P	$62AA	
08	B5E2	MapTileSystem_Entry_B5E2	Direct call from $08:$AFE5; Direct call from $08:$B442; Direct call from $08:$B457	A	A,P		
08	B5E8	MapTileSystem_Entry_B5E8	Direct call from $08:$B183; Direct call from $08:$B237; Direct call from $08:$B364	A	P		$B5F1
08	B5F1	MapTileSystem_Entry_B5F1	Direct call from $08:$AF4E; Direct call from $08:$B5E9; Pointer $08:$8002 (30-entry map and tile service directory)	A,Y	A,P,Y	$07BA	$B037
08	B60E	MapTileSystem_Entry_B60E	Pointer $08:$8020 (30-entry map and tile service directory)	A,X	A,P,X		$AEE3,$B644
08	B644	MapTileSystem_Entry_B644	Direct call from $08:$B634	A	A,P		
08	B6B8	MapTileSystem_Entry_B6B8	Pointer $08:$800A (30-entry map and tile service directory)	A	A,P	$6289	
08	B70E	MapTileSystem_Entry_B70E	Pointer $08:$801C (30-entry map and tile service directory)	A	A,P		
08	B71C	MapTileSystem_Entry_B71C	Pointer $08:$801E (30-entry map and tile service directory)		P		
08	B725	MapTileSystem_Entry_B725	Pointer $08:$8038 (30-entry map and tile service directory)	A	A,P,X	$DE,$DF	$C851,$C891
08	B75D	MapTileSystem_Entry_B75D	Pointer $08:$800C (30-entry map and tile service directory)	A	A,P		
08	B7AE	MapTileSystem_Entry_B7AE	Pointer $08:$8028 (30-entry map and tile service directory)	A	A,P		
0E	8008	Bank0E_EntryCode	Direct call from $0E:$802D; Supplied ROM map: Documented code region $8008-$8090	A	P	$06,$07	$BAF7
0E	8010	GraphicsPaletteSystem_Entry_8010	Pointer $0E:$8000 (Four-entry graphics and palette service directory)	A	A,P		$802D
0E	802D	GraphicsPaletteSystem_Entry_802D	Direct call from $0E:$8017; Pointer $0E:$8002 (Four-entry graphics and palette service directory)	A,Y	A,P,X,Y	($1A),Y,$05FC,$16,$17,$18,$19,$1A,$1B	$8008,$C813,$C81D
0E	BAF7	Bank0E_SelectMapPalette	Direct call from $0E:$800A; Supplied ROM map: Documented map-palette code region $BAF7-$BB52	A,X,Y	A,P,X,Y		
0E	BEEA	GraphicsPaletteSystem_Entry_BEEA	Pointer $0E:$8006 (Four-entry graphics and palette service directory)	A,X,Y	A,P,X,Y	$00+X,$01+X,$02+X,$72,$73,$74	$BF41
0E	BF41	GraphicsPaletteSystem_Entry_BF41	Direct call from $0E:$BF02; Direct call from $0E:$BF11; Direct call from $0E:$BF14	A,X	A,P	$00+X,$01+X,$02+X	
