Bank	ReferencedAddress	ConsumerAddress	Mnemonic	AddressingMode
08	8237	8167	lda	AbsoluteX
08	8238	816C	lda	AbsoluteX
08	8AA2	8558	ldx	AbsoluteY
0F	C37B	C318	lda	AbsoluteX
0F	C37B	C31F	lda	AbsoluteX
0F	D1B9	D19B	ldx	AbsoluteY
0F	D1BA	D1A0	cmp	AbsoluteY
0F	D1C1	D1A5	ldx	AbsoluteY
0F	D1C2	D1AA	lda	AbsoluteY
0F	D2E3	D2C9	cmp	AbsoluteX
0F	D2E6	D2D0	cmp	AbsoluteX
0F	DFEF	DFCC	lda	Absolute
0F	F481	F472	adc	AbsoluteX
0F	F482	F47B	adc	AbsoluteX
0F	F4A3	F494	adc	AbsoluteX
0F	F4A4	F49D	adc	AbsoluteX
10	8540	853A	lda	AbsoluteX
10	8DE2	8BAA	lda	AbsoluteX
10	8DE2	8BDE	lda	AbsoluteX
10	9DE0	8C0C	lda	AbsoluteX
10	8F28	8F1A	lda	AbsoluteX
10	8F74	8F50	cmp	AbsoluteX
10	8F74	8F55	lda	AbsoluteX
10	8F74	8F69	lda	AbsoluteX
10	8FE5	8FD6	lda	AbsoluteX
10	9201	91D8	cmp	AbsoluteX
10	9204	91E2	lda	AbsoluteX
10	95DB	9522	lda	AbsoluteX
10	95C3	954B	cmp	AbsoluteX
10	95B4	9552	cmp	AbsoluteX
10	95C3	9593	lda	AbsoluteX
10	95B4	9598	lda	AbsoluteX
10	9644	962D	lda	AbsoluteX
10	9A7D	9A18	lda	Absolute
10	9A7E	9A1D	lda	Absolute
10	9A7D	9ACD	lda	Absolute
10	9A7E	9AD2	lda	Absolute
10	9A7F	9B49	lda	AbsoluteX
10	AA72	A625	lda	AbsoluteY
10	AB06	A631	lda	AbsoluteX
10	AB07	A636	lda	AbsoluteX
10	AA72	A648	lda	AbsoluteY
10	AA72	A653	lda	AbsoluteY
10	AB16	A65B	ldy	AbsoluteX
10	AB33	A661	lda	AbsoluteX
10	ACEC	AC55	lda	AbsoluteY
10	AE6E	B44D	adc	AbsoluteX
11	A73F	A735	cmp	AbsoluteX
11	AB41	AB13	lda	AbsoluteY
11	AB42	AB1A	adc	AbsoluteY
11	B358	B2AD	lda	AbsoluteX
11	BC53	BBFE	lda	AbsoluteY
11	BC56	BC0A	lda	AbsoluteY
12	8252	81E7	lda	AbsoluteY
12	825A	81F0	lda	AbsoluteY
12	8252	81FB	lda	AbsoluteY
12	8252	820E	lda	AbsoluteY
12	8262	8215	lda	AbsoluteY
12	85BC	8566	lda	AbsoluteY
12	85C6	857C	lda	AbsoluteY
12	85C3	858B	lda	AbsoluteY
12	8614	8610	lda	AbsoluteX
12	8741	86F3	lda	AbsoluteX
12	9285	9235	cmp	AbsoluteX
12	9E68	9DC6	lda	AbsoluteX
12	9E69	9E23	lda	AbsoluteX
12	A4A1	A48D	lda	AbsoluteX
12	A688	A676	lda	AbsoluteX
12	AE31	AD8F	lda	AbsoluteX
12	B1E6	B1BF	lda	AbsoluteX
12	B1E7	B1C6	lda	AbsoluteX
12	B5F4	B580	lda	AbsoluteY
12	B5F4	B59B	lda	AbsoluteY
12	B5F4	B5E8	lda	AbsoluteY
12	B8C6	B8AC	lda	AbsoluteX
12	B8C7	B8B4	lda	AbsoluteX
12	BB01	BAC8	ldy	AbsoluteX
