# Bank<TAB>Start<TAB>EndExclusive<TAB>Source<TAB>Reason
00	8000	C000	Content classification	Huffman-compressed dialogue and compatibility footer; no executable content
01	8000	C000	Content classification	Huffman-compressed dialogue and compatibility footer; no executable content
02	8000	C000	Content classification	Huffman-compressed dialogue and compatibility footer; no executable content
03	8000	C000	Content classification	Huffman-compressed dialogue and compatibility footer; no executable content
04	8000	C000	Content classification	Huffman-compressed dialogue and compatibility footer; no executable content
05	8000	C000	Content classification	Per-map entity, NPC, and event pointer/record data
06	8000	C000	Content classification	Compressed monster graphics consumed by bank $14's bitplane decoder
07	8000	C000	Content classification	Compressed monster graphics consumed by bank $14's bitplane decoder
08	8000	803C	Content classification	Map-tile and tileset service pointer directory
08	8229	822F	Content classification	Graphics-page base pointer table
08	8ADB	979B	Content classification	Fifty-one 64-byte tilesets
08	979B	AEE3	Content classification	Auxiliary tile data, increment data, explicit pointers, tile definitions, and animated pointers
08	B7F7	BE94	Content classification	Map routing pointers, fixed records, variable submap stream, and coordinate records
08	BF64	C000	Content classification	Padding and compatibility footer
09	8000	C000	Content classification	Compressed map data
0A	8000	C000	Content classification	Compressed map data
0B	8000	C000	Content classification	Compressed map and overworld data with row-pointer tables
0C	8000	C000	Content classification	Raw map tile graphics
0D	8000	C000	Content classification	Raw map and character graphics with padding
0E	8000	8008	Content classification	Graphics and palette service pointer directory
0E	8091	8097	Content classification	Palette source and destination pointers
0E	8097	BAD7	Content classification	Character sprite graphics
0E	BB53	BE13	Content classification	Palette override, lookup, color-set, and color tables
0E	BF48	C000	Content classification	Padding and compatibility footer
10	8000	8080	Content classification	Battle and party service pointer directory
11	8000	8032	Content classification	Battle action and state service pointer directory
11	811C	811F	Content classification	Three operands for BRK service $62,$23 at $811B
11	82DB	82DE	Content classification	Three operands for BRK service $01,$6F at $82DA
11	8325	8328	Content classification	Three operands for BRK service $46,$93 at $8324
11	8394	8397	Content classification	Three operands for BRK service $3C,$93 at $8393
11	8447	844A	Content classification	Three operands for BRK service $E4,$D3 at $8446
11	863F	8642	Content classification	Three operands for BRK service $29,$C3 at $863E
11	86B6	86B9	Content classification	Three operands for BRK service $64,$63 at $86B5
