# Bank<TAB>CPU address<TAB>end exclusive or -<TAB>source<TAB>reason
10	8080	-	Direct ROM analysis	Wrapper immediately following the 64-entry bank service directory
0E	8008	8091	Supplied ROM map	Documented code region $8008-$8090
0E	BAF7	BB53	Supplied ROM map	Documented map-palette code region $BAF7-$BB52
0F	C001	C004	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 00
0F	C004	C007	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 01
0F	C007	C00A	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 02
0F	C00A	C00D	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 03
0F	C00D	C010	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 04
0F	C010	C013	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 05
0F	C013	C016	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 06
0F	C016	C019	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 07
0F	C019	C01C	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 08
0F	C01C	C01F	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 09
0F	C01F	C022	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0A
0F	C022	C025	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0B
0F	C025	C028	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0C
0F	C028	C02B	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0D
0F	C02B	C02E	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0E
0F	C02E	C031	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 0F
0F	C031	C034	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 10
0F	C034	C037	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 11
0F	C037	C03A	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 12
0F	C03A	C03D	Direct ROM analysis	Lower-half fixed-bank JMP trampoline 13
0F	C408	-	CPU vector	Lower-half IRQ/BRK vector target
0F	C15A	-	Direct ROM analysis	Lower-half NMI body installed at RAM $0502
0F	E9AD	-	Supplied ROM map	Map-data bank selection routine at headerless ROM offset $3E9AD
0F	FFD8	-	CPU vector	Lower-half RESET vector target
1F	C001	C004	Direct ROM analysis	Fixed-bank JMP trampoline 00
1F	C004	C007	Direct ROM analysis	Fixed-bank JMP trampoline 01
