# Bank<TAB>Address<TAB>Name<TAB>CallingConvention<TAB>Inputs<TAB>Outputs<TAB>Clobbers<TAB>SideEffects<TAB>Evidence
12	8EAD	InitializeChapterSaveState	Bank $12 service entry; RTS to caller	SaveCurrentChapterMinus1 selects chapter records	Save party and chapter-dependent state initialized	A,X,Y,flags,$02-$07,$79-$7A	Clears SaveWorkArea $610E-$6156 and writes persistent party/state fields	Direct stores and bounded loops at $8EAD-$90A8
14	9712	Bank14_DecodeMonsterGraphicsBitplanes	JSR; returns with RTS	Compressed stream state and destination state prepared by caller	Two NES bitplanes decoded at $0650/$0660 and rearranged at $0670	A,X,Y,flags,decoder zero-page state	Writes stack-page graphics staging buffers	Instruction trace and destination stores at $9712-$9782
14	9F26	Bank14_SelectMonsterGraphicsBank	JSR; returns with RTS	Monster ID in caller-established state	Selected physical graphics bank and descriptor state	A,X,Y,flags,graphics state	Selects bank $06/$07 and handles embedded overrides	Bitmap lookup at $B398 and observed bank reads
14	9F66	Bank14_RefillMonsterGraphicsInput	JSR; returns with RTS	Compressed source pointer and selected bank	17-byte input window refilled	A,X,Y,flags	Banked ROM reads copied to stack-page RAM	Copy loop at $9F66
14	9F8D	Bank14_ReadMonsterGraphicsByte	JSR; returns with RTS	Compressed source pointer	A is next compressed byte; source pointer advanced	A,Y,flags,source pointer	May refill the compressed input window	Pointer increment and refill call at $9F8D
14	9FA9	Bank14_LoadMonsterGraphicsDescriptor	JSR; returns with RTS	Monster ID	Five-byte descriptor loaded into graphics state	A,X,Y,flags,graphics state	Reads descriptor table $B3B1-$B77A	Five-byte indexed descriptor access at $9FA9
15	98F8	Bank15_InterpretEffectScript	Service entry; returns through script control flow	Effect script pointer and interpreter state	Effect commands applied; completion state returned in flags/state	A,X,Y,flags,script zero-page state	Mutates inventory, field, and effect state according to command stream	Command dispatch from verified scripts $8034-$963F
15	B374	Bank15_InitializeInventoryStorage	JSR/service entry; returns with RTS	None	Vault/inventory storage initialized	A,X,flags	Writes 128-byte inventory storage region	Bounded initialization loop at $B374
16	874C	Bank16_SelectTextGroup	JSR; returns with RTS	Text ID/group selector in caller state	Compressed-text bank and group pointer selected	A,X,Y,flags,text stream state	May switch the active text bank	Threshold and pointer lookup at $874C-$87A7
16	87A8	Bank16_DecodeHuffmanSymbol	JSR; returns with RTS	Compressed stream state; root node $5C	A is one decoded symbol; stream bit position advanced	A,X,Y,flags,text stream state	Reads Huffman trees $87D8/$8835 and compressed text banks	MSB-first tree traversal at $87A8-$87D7
18	B798	Bank18_LoadFontTiles	Runtime-observed entry; returns through graphics service	Font tile selector and PPU destination state	One-bitplane glyphs uploaded to PPU pattern table $1000	A,X,Y,flags,PPU staging state	Reads font ranges $B83D-$BDBC and writes PPU data	FCEUX execution and ROM-read evidence
1C	96C7	Bank1C_DecodeMapEntityData	Runtime-observed entry; returns to map loader	Map/entity stream pointer and destination arrays	Entity and event records expanded into WRAM	A,X,Y,flags,map decoder state	Reads structured bank $1C data and writes entity arrays	FCEUX-backed decoder path beginning $96C7
1C	9B12	Bank1C_LoadMapEntityPointer	JSR; returns with selected pointer	CurrentMapNumber	Pointer for the selected map entity record	A,X,Y,flags,pointer state	Reads bank $05's 73-entry pointer table	Indexed pointer lookup at $9B12
1D	9273	Bank1D_NmiCallbackA	NMI callback; exits through interrupt flow	Transition state prepared by installer	First map-transition pass advanced	A,X,Y,flags,PPU/NMI state	Writes PPU and transition state	Pointer $925A installs this callback at RAM $0503-$0504
1D	9467	Bank1D_NmiCallbackB	NMI callback; exits through interrupt flow	Transition state prepared by installer	Second map-transition pass advanced	A,X,Y,flags,PPU/NMI state	Writes PPU and transition state	Pointer $944E installs this callback at RAM $0503-$0504
1F	C03D	ResetMain	RESET entry; does not return	CPU reset state	Runtime initialized and main flow entered	A,X,Y,flags,stack,RAM/MMC1/PPU state	Initializes stack, RAM, PPU, mapper, and interrupt trampoline	CPU RESET vector and startup trace
1F	C03E	WaitForFirstVBlank	Reset fallthrough	PPU warming after reset	First vblank observed	A,flags	Reads PPUSTATUS	Busy wait at $C03E
1F	C043	WaitForSecondVBlank	Reset fallthrough	First vblank completed	Second vblank observed	A,flags	Reads PPUSTATUS	Busy wait at $C043
1F	C07E	ClearInternalRamLoop	Reset-internal loop	X page offset and A=$00	Selected internal RAM pages cleared	A,X,flags	Writes internal RAM pages	Bounded clear loop at $C07E
1F	C104	InitializeMmc1	JSR; returns with RTS	Initial mapper values in fixed state	MMC1 control and CHR registers initialized	A,flags,$0500-$0501	Serial writes through $9FFF/$BFFF/$DFFF	Calls the three five-bit writers
